task_id,source_split,source_config,text,code_python,test_list,code_go,code_go_status,code_go_attempts,code_go_tests_passed,code_go_tests_failed,tests_go
2,prompt,sanitized,Write a function to find the shared elements from the given two lists.,"def similar_elements(test_tup1, test_tup2):
  res = tuple(set(test_tup1) & set(test_tup2))
  return (res) ","[""assert set(similar_elements((3, 4, 5, 6),(5, 7, 4, 10))) == set((4, 5))"", ""assert set(similar_elements((1, 2, 3, 4),(5, 4, 3, 7))) == set((3, 4))"", ""assert set(similar_elements((11, 12, 14, 13),(17, 15, 14, 13))) == set((13, 14))""]","package main

func similar_elements(test_tup1, test_tup2 []int) []int {
	set1 := make(map[int]bool)
	for _, v := range test_tup1 {
		set1[v] = true
	}
	
	resultMap := make(map[int]bool)
	for _, v := range test_tup2 {
		if set1[v] {
			resultMap[v] = true
		}
	}
	
	res := make([]int, 0, len(resultMap))
	for v := range resultMap {
		res = append(res, v)
	}
	
	return res
}",success,1,3,0,[]
3,prompt,sanitized,Write a python function to identify non-prime numbers.,"import math
def is_not_prime(n):
    result = False
    for i in range(2,int(math.sqrt(n)) + 1):
        if n % i == 0:
            result = True
    return result","[""assert is_not_prime(2) == False"", ""assert is_not_prime(10) == True"", ""assert is_not_prime(35) == True"", ""assert is_not_prime(37) == False""]","package main

import (
	""math""
)

func is_not_prime(n int) bool {
	result := false
	for i := 2; i <= int(math.Sqrt(float64(n))); i++ {
		if n%i == 0 {
			result = true
		}
	}
	return result
}",success,1,4,0,[]
4,prompt,sanitized,"Write a function to find the n largest integers from a given list of numbers, returned in descending order.","import heapq as hq
def heap_queue_largest(nums,n):
  largest_nums = hq.nlargest(n, nums)
  return largest_nums","[""assert heap_queue_largest( [25, 35, 22, 85, 14, 65, 75, 22, 58],3)==[85, 75, 65]"", ""assert heap_queue_largest( [25, 35, 22, 85, 14, 65, 75, 22, 58],2)==[85, 75]"", ""assert heap_queue_largest( [25, 35, 22, 85, 14, 65, 75, 22, 58],5)==[85, 75, 65, 58, 35]""]","package main

import (
	""container/heap""
)

type MinHeap []int

func (h MinHeap) Len() int           { return len(h) }
func (h MinHeap) Less(i, j int) bool { return h[i] < h[j] }
func (h MinHeap) Swap(i, j int)      { h[i], h[j] = h[j], h[i] }

func (h *MinHeap) Push(x interface{}) {
	*h = append(*h, x.(int))
}

func (h *MinHeap) Pop() interface{} {
	old := *h
	n := len(old)
	x := old[n-1]
	*h = old[0 : n-1]
	return x
}

func heap_queue_largest(nums []int, n int) []int {
	if n <= 0 {
		return []int{}
	}
	
	if n > len(nums) {
		n = len(nums)
	}
	
	h := &MinHeap{}
	heap.Init(h)
	
	for _, num := range nums {
		if h.Len() < n {
			heap.Push(h, num)
		} else if num > (*h)[0] {
			heap.Pop(h)
			heap.Push(h, num)
		}
	}
	
	result := make([]int, h.Len())
	for i := len(result) - 1; i >= 0; i-- {
		result[i] = heap.Pop(h).(int)
	}
	
	return result
}",success,3,3,0,[]
6,prompt,sanitized,Write a python function to check whether the two numbers differ at one bit position only or not.,"def is_Power_Of_Two (x): 
    return x and (not(x & (x - 1))) 
def differ_At_One_Bit_Pos(a,b): 
    return is_Power_Of_Two(a ^ b)","[""assert differ_At_One_Bit_Pos(13,9) == True"", ""assert differ_At_One_Bit_Pos(15,8) == False"", ""assert differ_At_One_Bit_Pos(2,4) == False"", ""assert differ_At_One_Bit_Pos(2, 3) == True"", ""assert differ_At_One_Bit_Pos(5, 1) == True"", ""assert differ_At_One_Bit_Pos(1, 5) == True""]","package main

func is_Power_Of_Two(x int) bool {
    return x != 0 && (x&(x-1)) == 0
}

func differ_At_One_Bit_Pos(a, b int) bool {
    return is_Power_Of_Two(a ^ b)
}",success,1,6,0,"[{""python_test"": ""assert differ_At_One_Bit_Pos(13,9) == True"", ""generated_test"": ""result := differ_At_One_Bit_Pos(13, 9)\nexpected := true\nif result == expected {\n\tfmt.Println(\""PASS\"")\n} else {\n\tfmt.Println(\""FAIL\"")\n\tfmt.Printf(\""  Expected: %v\\n\"", expected)\n\tfmt.Printf(\""  Got: %v\\n\"", result)\n}"", ""passed"": true, ""llm_validated"": false}, {""python_test"": ""assert differ_At_One_Bit_Pos(15,8) == False"", ""generated_test"": ""result := differ_At_One_Bit_Pos(15, 8)\nexpected := false\nif result == expected {\n\tfmt.Println(\""PASS\"")\n} else {\n\tfmt.Println(\""FAIL\"")\n\tfmt.Printf(\""  Expected: %v\\n\"", expected)\n\tfmt.Printf(\""  Got: %v\\n\"", result)\n}"", ""passed"": true, ""llm_validated"": false}, {""python_test"": ""assert differ_At_One_Bit_Pos(2,4) == False"", ""generated_test"": ""result := differ_At_One_Bit_Pos(2, 4)\nexpected := false\nif result == expected {\n\tfmt.Println(\""PASS\"")\n} else {\n\tfmt.Println(\""FAIL\"")\n\tfmt.Printf(\""  Expected: %v\\n\"", expected)\n\tfmt.Printf(\""  Got: %v\\n\"", result)\n}"", ""passed"": true, ""llm_validated"": false}, {""python_test"": ""assert differ_At_One_Bit_Pos(2, 3) == True"", ""generated_test"": ""result := differ_At_One_Bit_Pos(2, 3)\nexpected := true\nif result == expected {\n\tfmt.Println(\""PASS\"")\n} else {\n\tfmt.Println(\""FAIL\"")\n\tfmt.Printf(\""  Expected: %v\\n\"", expected)\n\tfmt.Printf(\""  Got: %v\\n\"", result)\n}"", ""passed"": true, ""llm_validated"": false}, {""python_test"": ""assert differ_At_One_Bit_Pos(5, 1) == True"", ""generated_test"": ""result := differ_At_One_Bit_Pos(5, 1)\nexpected := true\nif result == expected {\n\tfmt.Println(\""PASS\"")\n} else {\n\tfmt.Println(\""FAIL\"")\n\tfmt.Printf(\""  Expected: %v\\n\"", expected)\n\tfmt.Printf(\""  Got: %v\\n\"", result)\n}"", ""passed"": true, ""llm_validated"": false}, {""python_test"": ""assert differ_At_One_Bit_Pos(1, 5) == True"", ""generated_test"": ""result := differ_At_One_Bit_Pos(1, 5)\nexpected := true\nif result == expected {\n\tfmt.Println(\""PASS\"")\n} else {\n\tfmt.Println(\""FAIL\"")\n\tfmt.Printf(\""  Expected: %v\\n\"", expected)\n\tfmt.Printf(\""  Got: %v\\n\"", result)\n}"", ""passed"": true, ""llm_validated"": false}]"
7,prompt,sanitized,Write a function to find all words which are at least 4 characters long in a string.,"import re
def find_char_long(text):
  return (re.findall(r""\b\w{4,}\b"", text))","[""assert set(find_char_long('Please move back to stream')) == set(['Please', 'move', 'back', 'stream'])"", ""assert set(find_char_long('Jing Eco and Tech')) == set(['Jing', 'Tech'])"", ""assert set(find_char_long('Jhingai wulu road Zone 3')) == set(['Jhingai', 'wulu', 'road', 'Zone'])""]","package main

import (
	""regexp""
)

func find_char_long(text string) []string {
	re := regexp.MustCompile(`\b\w{4,}\b`)
	matches := re.FindAllString(text, -1)
	if matches == nil {
		return []string{}
	}
	return matches
}",success,1,3,0,"[{""python_test"": ""assert set(find_char_long('Please move back to stream')) == set(['Please', 'move', 'back', 'stream'])"", ""generated_test"": ""result := find_char_long(\""Please move back to stream\"")\nexpected := map[string]bool{\""Please\"": true, \""move\"": true, \""back\"": true, \""stream\"": true}\n\nresultSet := make(map[string]bool)\nfor _, v := range result {\n\tresultSet[v] = true\n}\n\npass := true\nif len(resultSet) != len(expected) {\n\tpass = false\n} else {\n\tfor k := range expected {\n\t\tif !resultSet[k] {\n\t\t\tpass = false\n\t\t\tbreak\n\t\t}\n\t}\n}\n\nif pass {\n\tfmt.Println(\""PASS\"")\n} else {\n\tfmt.Println(\""FAIL\"")\n\tfmt.Printf(\""  Expected: %v\\n\"", expected)\n\tfmt.Printf(\""  Got: %v\\n\"", resultSet)\n}"", ""passed"": true, ""llm_validated"": false}, {""python_test"": ""assert set(find_char_long('Jing Eco and Tech')) == set(['Jing', 'Tech'])"", ""generated_test"": ""result := find_char_long(\""Jing Eco and Tech\"")\nexpected := []string{\""Jing\"", \""Tech\""}\n\n// Convert both to sets (maps) for comparison\nresultSet := make(map[string]bool)\nfor _, v := range result {\n\tresultSet[v] = true\n}\n\nexpectedSet := make(map[string]bool)\nfor _, v := range expected {\n\texpectedSet[v] = true\n}\n\n// Compare sets\npass := len(resultSet) == len(expectedSet)\nif pass {\n\tfor k := range expectedSet {\n\t\tif !resultSet[k] {\n\t\t\tpass = false\n\t\t\tbreak\n\t\t}\n\t}\n}\n\nif pass {\n\tfmt.Println(\""PASS\"")\n} else {\n\tfmt.Println(\""FAIL\"")\n\tfmt.Printf(\""  Expected: %v\\n\"", expected)\n\tfmt.Printf(\""  Got: %v\\n\"", result)\n}"", ""passed"": true, ""llm_validated"": false}, {""python_test"": ""assert set(find_char_long('Jhingai wulu road Zone 3')) == set(['Jhingai', 'wulu', 'road', 'Zone'])"", ""generated_test"": ""result := find_char_long(\""Jhingai wulu road Zone 3\"")\nexpected := []string{\""Jhingai\"", \""wulu\"", \""road\"", \""Zone\""}\n\n// Convert both to sets (maps) for comparison\nresultSet := make(map[string]bool)\nfor _, v := range result {\n\tresultSet[v] = true\n}\n\nexpectedSet := make(map[string]bool)\nfor _, v := range expected {\n\texpectedSet[v] = true\n}\n\n// Compare sets\npass := len(resultSet) == len(expectedSet)\nif pass {\n\tfor k := range expectedSet {\n\t\tif !resultSet[k] {\n\t\t\tpass = false\n\t\t\tbreak\n\t\t}\n\t}\n}\n\nif pass {\n\tfmt.Println(\""PASS\"")\n} else {\n\tfmt.Println(\""FAIL\"")\n\tfmt.Printf(\""  Expected: %v\\n\"", expected)\n\tfmt.Printf(\""  Got: %v\\n\"", result)\n}"", ""passed"": true, ""llm_validated"": false}]"
8,prompt,sanitized,Write a function to find squares of individual elements in a list.,"def square_nums(nums):
 square_nums = list(map(lambda x: x ** 2, nums))
 return square_nums","[""assert square_nums([1, 2, 3, 4, 5, 6, 7, 8, 9, 10])==[1, 4, 9, 16, 25, 36, 49, 64, 81, 100]"", ""assert square_nums([10,20,30])==([100,400,900])"", ""assert square_nums([12,15])==([144,225])""]","package main

func square_nums(nums []int) []int {
	result := make([]int, len(nums))
	for i, x := range nums {
		result[i] = x * x
	}
	return result
}",success,1,3,0,"[{""python_test"": ""assert square_nums([1, 2, 3, 4, 5, 6, 7, 8, 9, 10])==[1, 4, 9, 16, 25, 36, 49, 64, 81, 100]"", ""generated_test"": ""input := []int{1, 2, 3, 4, 5, 6, 7, 8, 9, 10}\nexpected := []int{1, 4, 9, 16, 25, 36, 49, 64, 81, 100}\nresult := square_nums(input)\n\npass := len(result) == len(expected)\nif pass {\n\tfor i := range result {\n\t\tif result[i] != expected[i] {\n\t\t\tpass = false\n\t\t\tbreak\n\t\t}\n\t}\n}\n\nif pass {\n\tfmt.Println(\""PASS\"")\n} else {\n\tfmt.Println(\""FAIL\"")\n\tfmt.Printf(\""  Expected: %v\\n\"", expected)\n\tfmt.Printf(\""  Got: %v\\n\"", result)\n}"", ""passed"": true, ""llm_validated"": false}, {""python_test"": ""assert square_nums([10,20,30])==([100,400,900])"", ""generated_test"": ""input := []int{10, 20, 30}\nexpected := []int{100, 400, 900}\nresult := square_nums(input)\n\npass := true\nif len(result) != len(expected) {\n\tpass = false\n} else {\n\tfor i := range expected {\n\t\tif result[i] != expected[i] {\n\t\t\tpass = false\n\t\t\tbreak\n\t\t}\n\t}\n}\n\nif pass {\n\tfmt.Println(\""PASS\"")\n} else {\n\tfmt.Println(\""FAIL\"")\n\tfmt.Printf(\""  Expected: %v\\n\"", expected)\n\tfmt.Printf(\""  Got: %v\\n\"", result)\n}"", ""passed"": true, ""llm_validated"": false}, {""python_test"": ""assert square_nums([12,15])==([144,225])"", ""generated_test"": ""result := square_nums([]int{12, 15})\nexpected := []int{144, 225}\n\npass := true\nif len(result) != len(expected) {\n\tpass = false\n} else {\n\tfor i := range result {\n\t\tif result[i] != expected[i] {\n\t\t\tpass = false\n\t\t\tbreak\n\t\t}\n\t}\n}\n\nif pass {\n\tfmt.Println(\""PASS\"")\n} else {\n\tfmt.Println(\""FAIL\"")\n\tfmt.Printf(\""  Expected: %v\\n\"", expected)\n\tfmt.Printf(\""  Got: %v\\n\"", result)\n}"", ""passed"": true, ""llm_validated"": false}]"
9,prompt,sanitized,Write a python function to find the minimum number of rotations (greater than 0) required to get the same string.,"def find_Rotations(str): 
    tmp = str + str
    n = len(str) 
    for i in range(1,n + 1): 
        substring = tmp[i: i+n] 
        if (str == substring): 
            return i 
    return n ","[""assert find_Rotations(\""aaaa\"") == 1"", ""assert find_Rotations(\""ab\"") == 2"", ""assert find_Rotations(\""abc\"") == 3""]","package main

func find_Rotations(str string) int {
	tmp := str + str
	n := len(str)
	for i := 1; i <= n; i++ {
		substring := tmp[i : i+n]
		if str == substring {
			return i
		}
	}
	return n
}",success,1,3,0,"[{""python_test"": ""assert find_Rotations(\""aaaa\"") == 1"", ""generated_test"": ""result := find_Rotations(\""aaaa\"")\nexpected := 1\nif result == expected {\n\tfmt.Println(\""PASS\"")\n} else {\n\tfmt.Println(\""FAIL\"")\n\tfmt.Printf(\""  Expected: %v\\n\"", expected)\n\tfmt.Printf(\""  Got: %v\\n\"", result)\n}"", ""passed"": true, ""llm_validated"": false}, {""python_test"": ""assert find_Rotations(\""ab\"") == 2"", ""generated_test"": ""result := find_Rotations(\""ab\"")\nexpected := 2\nif result == expected {\n\tfmt.Println(\""PASS\"")\n} else {\n\tfmt.Println(\""FAIL\"")\n\tfmt.Printf(\""  Expected: %v\\n\"", expected)\n\tfmt.Printf(\""  Got: %v\\n\"", result)\n}"", ""passed"": true, ""llm_validated"": false}, {""python_test"": ""assert find_Rotations(\""abc\"") == 3"", ""generated_test"": ""result := find_Rotations(\""abc\"")\nexpected := 3\nif result == expected {\n\tfmt.Println(\""PASS\"")\n} else {\n\tfmt.Println(\""FAIL\"")\n\tfmt.Printf(\""  Expected: %v\\n\"", expected)\n\tfmt.Printf(\""  Got: %v\\n\"", result)\n}"", ""passed"": true, ""llm_validated"": false}]"
11,test,sanitized,Write a python function to remove first and last occurrence of a given character from the string.,"def remove_Occ(s,ch): 
    for i in range(len(s)): 
        if (s[i] == ch): 
            s = s[0 : i] + s[i + 1:] 
            break
    for i in range(len(s) - 1,-1,-1):  
        if (s[i] == ch): 
            s = s[0 : i] + s[i + 1:] 
            break
    return s ","[""assert remove_Occ(\""hello\"",\""l\"") == \""heo\"""", ""assert remove_Occ(\""abcda\"",\""a\"") == \""bcd\"""", ""assert remove_Occ(\""PHP\"",\""P\"") == \""H\""""]","package main

func remove_Occ(s string, ch string) string {
	if len(ch) == 0 {
		return s
	}
	
	target := rune(ch[0])
	runes := []rune(s)
	
	// Remove first occurrence
	for i := 0; i < len(runes); i++ {
		if runes[i] == target {
			runes = append(runes[:i], runes[i+1:]...)
			break
		}
	}
	
	// Remove last occurrence
	for i := len(runes) - 1; i >= 0; i-- {
		if runes[i] == target {
			runes = append(runes[:i], runes[i+1:]...)
			break
		}
	}
	
	return string(runes)
}",success,1,3,0,"[{""python_test"": ""assert remove_Occ(\""hello\"",\""l\"") == \""heo\"""", ""generated_test"": ""result := remove_Occ(\""hello\"", \""l\"")\nexpected := \""heo\""\nif result == expected {\n\tfmt.Println(\""PASS\"")\n} else {\n\tfmt.Println(\""FAIL\"")\n\tfmt.Printf(\""  Expected: %v\\n\"", expected)\n\tfmt.Printf(\""  Got: %v\\n\"", result)\n}"", ""passed"": true, ""llm_validated"": false}, {""python_test"": ""assert remove_Occ(\""abcda\"",\""a\"") == \""bcd\"""", ""generated_test"": ""result := remove_Occ(\""abcda\"", \""a\"")\nexpected := \""bcd\""\nif result == expected {\n\tfmt.Println(\""PASS\"")\n} else {\n\tfmt.Println(\""FAIL\"")\n\tfmt.Printf(\""  Expected: %v\\n\"", expected)\n\tfmt.Printf(\""  Got: %v\\n\"", result)\n}"", ""passed"": true, ""llm_validated"": false}, {""python_test"": ""assert remove_Occ(\""PHP\"",\""P\"") == \""H\"""", ""generated_test"": ""result := remove_Occ(\""PHP\"", \""P\"")\nexpected := \""H\""\nif result == expected {\n\tfmt.Println(\""PASS\"")\n} else {\n\tfmt.Println(\""FAIL\"")\n\tfmt.Printf(\""  Expected: %v\\n\"", expected)\n\tfmt.Printf(\""  Got: %v\\n\"", result)\n}"", ""passed"": true, ""llm_validated"": false}]"
12,test,sanitized,Write a function to sort a given matrix in ascending order according to the sum of its rows.,"def sort_matrix(M):
    result = sorted(M, key=sum)
    return result","[""assert sort_matrix([[1, 2, 3], [2, 4, 5], [1, 1, 1]])==[[1, 1, 1], [1, 2, 3], [2, 4, 5]]"", ""assert sort_matrix([[1, 2, 3], [-2, 4, -5], [1, -1, 1]])==[[-2, 4, -5], [1, -1, 1], [1, 2, 3]]"", ""assert sort_matrix([[5,8,9],[6,4,3],[2,1,4]])==[[2, 1, 4], [6, 4, 3], [5, 8, 9]]""]","package main

import (
	""sort""
)

func sort_matrix(M [][]int) [][]int {
	if M == nil {
		return nil
	}
	if len(M) == 0 {
		return [][]int{}
	}
	
	result := make([][]int, len(M))
	for i := range M {
		if M[i] == nil {
			result[i] = nil
		} else {
			result[i] = make([]int, len(M[i]))
			copy(result[i], M[i])
		}
	}
	
	sort.SliceStable(result, func(i, j int) bool {
		return rowSum(result[i]) < rowSum(result[j])
	})
	
	return result
}

func rowSum(row []int) int {
	if row == nil {
		return 0
	}
	sum := 0
	for _, v := range row {
		sum += v
	}
	return sum
}",success,4,3,0,"[{""python_test"": ""assert sort_matrix([[1, 2, 3], [2, 4, 5], [1, 1, 1]])==[[1, 1, 1], [1, 2, 3], [2, 4, 5]]"", ""generated_test"": ""input := [][]int{{1, 2, 3}, {2, 4, 5}, {1, 1, 1}}\nexpected := [][]int{{1, 1, 1}, {1, 2, 3}, {2, 4, 5}}\ngot := sort_matrix(input)\n\npass := true\nif len(got) != len(expected) {\n\tpass = false\n} else {\n\tfor i := range expected {\n\t\tif len(got[i]) != len(expected[i]) {\n\t\t\tpass = false\n\t\t\tbreak\n\t\t}\n\t\tfor j := range expected[i] {\n\t\t\tif got[i][j] != expected[i][j] {\n\t\t\t\tpass = false\n\t\t\t\tbreak\n\t\t\t}\n\t\t}\n\t\tif !pass {\n\t\t\tbreak\n\t\t}\n\t}\n}\n\nif pass {\n\tfmt.Println(\""PASS\"")\n} else {\n\tfmt.Println(\""FAIL\"")\n\tfmt.Printf(\""  Expected: %v\\n\"", expected)\n\tfmt.Printf(\""  Got: %v\\n\"", got)\n}"", ""passed"": true, ""llm_validated"": false}, {""python_test"": ""assert sort_matrix([[1, 2, 3], [-2, 4, -5], [1, -1, 1]])==[[-2, 4, -5], [1, -1, 1], [1, 2, 3]]"", ""generated_test"": ""input := [][]int{{1, 2, 3}, {-2, 4, -5}, {1, -1, 1}}\nexpected := [][]int{{-2, 4, -5}, {1, -1, 1}, {1, 2, 3}}\nresult := sort_matrix(input)\n\npass := true\nif len(result) != len(expected) {\n\tpass = false\n} else {\n\tfor i := range expected {\n\t\tif len(result[i]) != len(expected[i]) {\n\t\t\tpass = false\n\t\t\tbreak\n\t\t}\n\t\tfor j := range expected[i] {\n\t\t\tif result[i][j] != expected[i][j] {\n\t\t\t\tpass = false\n\t\t\t\tbreak\n\t\t\t}\n\t\t}\n\t\tif !pass {\n\t\t\tbreak\n\t\t}\n\t}\n}\n\nif pass {\n\tfmt.Println(\""PASS\"")\n} else {\n\tfmt.Println(\""FAIL\"")\n\tfmt.Printf(\""  Expected: %v\\n\"", expected)\n\tfmt.Printf(\""  Got: %v\\n\"", result)\n}"", ""passed"": true, ""llm_validated"": false}, {""python_test"": ""assert sort_matrix([[5,8,9],[6,4,3],[2,1,4]])==[[2, 1, 4], [6, 4, 3], [5, 8, 9]]"", ""generated_test"": ""input := [][]int{{5, 8, 9}, {6, 4, 3}, {2, 1, 4}}\nexpected := [][]int{{2, 1, 4}, {6, 4, 3}, {5, 8, 9}}\nresult := sort_matrix(input)\n\npass := true\nif len(result) != len(expected) {\n\tpass = false\n} else {\n\tfor i := range expected {\n\t\tif len(result[i]) != len(expected[i]) {\n\t\t\tpass = false\n\t\t\tbreak\n\t\t}\n\t\tfor j := range expected[i] {\n\t\t\tif result[i][j] != expected[i][j] {\n\t\t\t\tpass = false\n\t\t\t\tbreak\n\t\t\t}\n\t\t}\n\t\tif !pass {\n\t\t\tbreak\n\t\t}\n\t}\n}\n\nif pass {\n\tfmt.Println(\""PASS\"")\n} else {\n\tfmt.Println(\""FAIL\"")\n\tfmt.Printf(\""  Expected: %v\\n\"", expected)\n\tfmt.Printf(\""  Got: %v\\n\"", result)\n}"", ""passed"": true, ""llm_validated"": false}]"
14,test,sanitized,Write a python function to find the volume of a triangular prism.,"def find_Volume(l,b,h) : 
    return ((l * b * h) / 2) ","[""assert find_Volume(10,8,6) == 240"", ""assert find_Volume(3,2,2) == 6"", ""assert find_Volume(1,2,1) == 1""]","package main

func find_Volume(l, b, h float64) float64 {
	return (l * b * h) / 2
}",success,1,3,0,"[{""python_test"": ""assert find_Volume(10,8,6) == 240"", ""generated_test"": ""result := find_Volume(10, 8, 6)\nexpected := 240.0\nif result == expected {\n\tfmt.Println(\""PASS\"")\n} else {\n\tfmt.Println(\""FAIL\"")\n\tfmt.Printf(\""  Expected: %v\\n\"", expected)\n\tfmt.Printf(\""  Got: %v\\n\"", result)\n}"", ""passed"": true, ""llm_validated"": false}, {""python_test"": ""assert find_Volume(3,2,2) == 6"", ""generated_test"": ""result := find_Volume(3, 2, 2)\nexpected := 6.0\nif result == expected {\n\tfmt.Println(\""PASS\"")\n} else {\n\tfmt.Println(\""FAIL\"")\n\tfmt.Printf(\""  Expected: %v\\n\"", expected)\n\tfmt.Printf(\""  Got: %v\\n\"", result)\n}"", ""passed"": true, ""llm_validated"": false}, {""python_test"": ""assert find_Volume(1,2,1) == 1"", ""generated_test"": ""expected := 1.0\ngot := find_Volume(1, 2, 1)\nif got == expected {\n\tfmt.Println(\""PASS\"")\n} else {\n\tfmt.Println(\""FAIL\"")\n\tfmt.Printf(\""  Expected: %v\\n\"", expected)\n\tfmt.Printf(\""  Got: %v\\n\"", got)\n}"", ""passed"": true, ""llm_validated"": false}]"
