task_id,source_split,source_config,text,code_python,test_list,code_rust,code_rust_status,code_rust_attempts,code_rust_tests_passed,code_rust_tests_failed,tests_rust
2,prompt,sanitized,Write a function to find the shared elements from the given two lists.,"def similar_elements(test_tup1, test_tup2):
  res = tuple(set(test_tup1) & set(test_tup2))
  return (res) ","[""assert set(similar_elements((3, 4, 5, 6),(5, 7, 4, 10))) == set((4, 5))"", ""assert set(similar_elements((1, 2, 3, 4),(5, 4, 3, 7))) == set((3, 4))"", ""assert set(similar_elements((11, 12, 14, 13),(17, 15, 14, 13))) == set((13, 14))""]","use std::collections::HashSet;

pub fn similar_elements(test_tup1: Vec<i32>, test_tup2: Vec<i32>) -> Vec<i32> {
    let set1: HashSet<i32> = test_tup1.into_iter().collect();
    let set2: HashSet<i32> = test_tup2.into_iter().collect();
    set1.intersection(&set2).cloned().collect()
}",success,2,3,0,[]
3,prompt,sanitized,Write a python function to identify non-prime numbers.,"import math
def is_not_prime(n):
    result = False
    for i in range(2,int(math.sqrt(n)) + 1):
        if n % i == 0:
            result = True
    return result","[""assert is_not_prime(2) == False"", ""assert is_not_prime(10) == True"", ""assert is_not_prime(35) == True"", ""assert is_not_prime(37) == False""]","pub fn is_not_prime(n: i32) -> bool {
    let mut result = false;
    let sqrt_n = (n as f64).sqrt() as i32;
    for i in 2..=sqrt_n {
        if n % i == 0 {
            result = true;
        }
    }
    result
}",success,1,4,0,[]
4,prompt,sanitized,"Write a function to find the n largest integers from a given list of numbers, returned in descending order.","import heapq as hq
def heap_queue_largest(nums,n):
  largest_nums = hq.nlargest(n, nums)
  return largest_nums","[""assert heap_queue_largest( [25, 35, 22, 85, 14, 65, 75, 22, 58],3)==[85, 75, 65]"", ""assert heap_queue_largest( [25, 35, 22, 85, 14, 65, 75, 22, 58],2)==[85, 75]"", ""assert heap_queue_largest( [25, 35, 22, 85, 14, 65, 75, 22, 58],5)==[85, 75, 65, 58, 35]""]","pub fn heap_queue_largest(nums: &[i32], n: usize) -> Vec<i32> {
    use std::collections::BinaryHeap;
    
    if nums.is_empty() || n == 0 {
        return Vec::new();
    }
    
    let mut heap = BinaryHeap::from(nums.to_vec());
    let mut result = Vec::with_capacity(n.min(nums.len()));
    
    for _ in 0..n {
        if let Some(val) = heap.pop() {
            result.push(val);
        } else {
            break;
        }
    }
    
    result
}",success,1,3,0,[]
6,prompt,sanitized,Write a python function to check whether the two numbers differ at one bit position only or not.,"def is_Power_Of_Two (x): 
    return x and (not(x & (x - 1))) 
def differ_At_One_Bit_Pos(a,b): 
    return is_Power_Of_Two(a ^ b)","[""assert differ_At_One_Bit_Pos(13,9) == True"", ""assert differ_At_One_Bit_Pos(15,8) == False"", ""assert differ_At_One_Bit_Pos(2,4) == False"", ""assert differ_At_One_Bit_Pos(2, 3) == True"", ""assert differ_At_One_Bit_Pos(5, 1) == True"", ""assert differ_At_One_Bit_Pos(1, 5) == True""]","pub fn is_Power_Of_Two(x: i32) -> bool {
    x != 0 && (x & (x - 1)) == 0
}

pub fn differ_At_One_Bit_Pos(a: i32, b: i32) -> bool {
    is_Power_Of_Two(a ^ b)
}",success,1,6,0,"[{""python_test"": ""assert differ_At_One_Bit_Pos(13,9) == True"", ""generated_test"": ""let result = differ_At_One_Bit_Pos(13, 9);\nlet expected = true;\nif result == expected {\n    println!(\""PASS\"");\n} else {\n    println!(\""FAIL\"");\n    println!(\""  Expected: {}\"", expected);\n    println!(\""  Got: {}\"", result);\n}"", ""passed"": true, ""llm_validated"": false}, {""python_test"": ""assert differ_At_One_Bit_Pos(15,8) == False"", ""generated_test"": ""let result = differ_At_One_Bit_Pos(15, 8);\nlet expected = false;\nif result == expected {\n    println!(\""PASS\"");\n} else {\n    println!(\""FAIL\"");\n    println!(\""  Expected: {}\"", expected);\n    println!(\""  Got: {}\"", result);\n}"", ""passed"": true, ""llm_validated"": false}, {""python_test"": ""assert differ_At_One_Bit_Pos(2,4) == False"", ""generated_test"": ""let result = differ_At_One_Bit_Pos(2, 4);\nlet expected = false;\nif result == expected {\n    println!(\""PASS\"");\n} else {\n    println!(\""FAIL\"");\n    println!(\""  Expected: {}\"", expected);\n    println!(\""  Got: {}\"", result);\n}"", ""passed"": true, ""llm_validated"": false}, {""python_test"": ""assert differ_At_One_Bit_Pos(2, 3) == True"", ""generated_test"": ""let result = differ_At_One_Bit_Pos(2, 3);\nlet expected = true;\nif result == expected {\n    println!(\""PASS\"");\n} else {\n    println!(\""FAIL\"");\n    println!(\""  Expected: {}\"", expected);\n    println!(\""  Got: {}\"", result);\n}"", ""passed"": true, ""llm_validated"": false}, {""python_test"": ""assert differ_At_One_Bit_Pos(5, 1) == True"", ""generated_test"": ""let result = differ_At_One_Bit_Pos(5, 1);\nlet expected = true;\nif result == expected {\n    println!(\""PASS\"");\n} else {\n    println!(\""FAIL\"");\n    println!(\""  Expected: {:?}\"", expected);\n    println!(\""  Got: {:?}\"", result);\n}"", ""passed"": true, ""llm_validated"": false}, {""python_test"": ""assert differ_At_One_Bit_Pos(1, 5) == True"", ""generated_test"": ""let result = differ_At_One_Bit_Pos(1, 5);\nlet expected = true;\nif result == expected {\n    println!(\""PASS\"");\n} else {\n    println!(\""FAIL\"");\n    println!(\""  Expected: {}\"", expected);\n    println!(\""  Got: {}\"", result);\n}"", ""passed"": true, ""llm_validated"": false}]"
7,prompt,sanitized,Write a function to find all words which are at least 4 characters long in a string.,"import re
def find_char_long(text):
  return (re.findall(r""\b\w{4,}\b"", text))","[""assert set(find_char_long('Please move back to stream')) == set(['Please', 'move', 'back', 'stream'])"", ""assert set(find_char_long('Jing Eco and Tech')) == set(['Jing', 'Tech'])"", ""assert set(find_char_long('Jhingai wulu road Zone 3')) == set(['Jhingai', 'wulu', 'road', 'Zone'])""]","use std::collections::HashSet;

pub fn find_char_long(text: &str) -> Vec<String> {
    let mut result = Vec::new();
    let mut current_word = String::new();
    
    for ch in text.chars() {
        if ch.is_alphanumeric() || ch == '_' {
            current_word.push(ch);
        } else {
            if current_word.len() >= 4 {
                result.push(current_word.clone());
            }
            current_word.clear();
        }
    }
    
    // Don't forget the last word if the string doesn't end with a non-word character
    if current_word.len() >= 4 {
        result.push(current_word);
    }
    
    result
}",success,1,3,0,"[{""python_test"": ""assert set(find_char_long('Please move back to stream')) == set(['Please', 'move', 'back', 'stream'])"", ""generated_test"": ""let result: HashSet<String> = find_char_long(\""Please move back to stream\"").into_iter().collect();\nlet expected: HashSet<String> = [\""Please\"", \""move\"", \""back\"", \""stream\""].iter().map(|s| s.to_string()).collect();\n\nif result == expected {\n    println!(\""PASS\"");\n} else {\n    println!(\""FAIL\"");\n    println!(\""  Expected: {:?}\"", expected);\n    println!(\""  Got: {:?}\"", result);\n}"", ""passed"": true, ""llm_validated"": false}, {""python_test"": ""assert set(find_char_long('Jing Eco and Tech')) == set(['Jing', 'Tech'])"", ""generated_test"": ""let result: HashSet<String> = find_char_long(\""Jing Eco and Tech\"").into_iter().collect();\nlet expected: HashSet<String> = vec![\""Jing\"".to_string(), \""Tech\"".to_string()].into_iter().collect();\n\nif result == expected {\n    println!(\""PASS\"");\n} else {\n    println!(\""FAIL\"");\n    println!(\""  Expected: {:?}\"", expected);\n    println!(\""  Got: {:?}\"", result);\n}"", ""passed"": true, ""llm_validated"": false}, {""python_test"": ""assert set(find_char_long('Jhingai wulu road Zone 3')) == set(['Jhingai', 'wulu', 'road', 'Zone'])"", ""generated_test"": ""let result: HashSet<String> = find_char_long(\""Jhingai wulu road Zone 3\"").into_iter().collect();\nlet expected: HashSet<String> = [\""Jhingai\"", \""wulu\"", \""road\"", \""Zone\""].iter().map(|s| s.to_string()).collect();\n\nif result == expected {\n    println!(\""PASS\"");\n} else {\n    println!(\""FAIL\"");\n    println!(\""  Expected: {:?}\"", expected);\n    println!(\""  Got: {:?}\"", result);\n}"", ""passed"": true, ""llm_validated"": false}]"
8,prompt,sanitized,Write a function to find squares of individual elements in a list.,"def square_nums(nums):
 square_nums = list(map(lambda x: x ** 2, nums))
 return square_nums","[""assert square_nums([1, 2, 3, 4, 5, 6, 7, 8, 9, 10])==[1, 4, 9, 16, 25, 36, 49, 64, 81, 100]"", ""assert square_nums([10,20,30])==([100,400,900])"", ""assert square_nums([12,15])==([144,225])""]","pub fn square_nums(nums: Vec<i32>) -> Vec<i32> {
    nums.iter().map(|x| x * x).collect()
}",success,1,3,0,"[{""python_test"": ""assert square_nums([1, 2, 3, 4, 5, 6, 7, 8, 9, 10])==[1, 4, 9, 16, 25, 36, 49, 64, 81, 100]"", ""generated_test"": ""let result = square_nums(vec![1, 2, 3, 4, 5, 6, 7, 8, 9, 10]);\nlet expected = vec![1, 4, 9, 16, 25, 36, 49, 64, 81, 100];\nif result == expected {\n    println!(\""PASS\"");\n} else {\n    println!(\""FAIL\"");\n    println!(\""  Expected: {:?}\"", expected);\n    println!(\""  Got: {:?}\"", result);\n}"", ""passed"": true, ""llm_validated"": false}, {""python_test"": ""assert square_nums([10,20,30])==([100,400,900])"", ""generated_test"": ""let result = square_nums(vec![10, 20, 30]);\nlet expected = vec![100, 400, 900];\nif result == expected {\n    println!(\""PASS\"");\n} else {\n    println!(\""FAIL\"");\n    println!(\""  Expected: {:?}\"", expected);\n    println!(\""  Got: {:?}\"", result);\n}"", ""passed"": true, ""llm_validated"": false}, {""python_test"": ""assert square_nums([12,15])==([144,225])"", ""generated_test"": ""let result = square_nums(vec![12, 15]);\nlet expected = vec![144, 225];\nif result == expected {\n    println!(\""PASS\"");\n} else {\n    println!(\""FAIL\"");\n    println!(\""  Expected: {:?}\"", expected);\n    println!(\""  Got: {:?}\"", result);\n}"", ""passed"": true, ""llm_validated"": false}]"
9,prompt,sanitized,Write a python function to find the minimum number of rotations (greater than 0) required to get the same string.,"def find_Rotations(str): 
    tmp = str + str
    n = len(str) 
    for i in range(1,n + 1): 
        substring = tmp[i: i+n] 
        if (str == substring): 
            return i 
    return n ","[""assert find_Rotations(\""aaaa\"") == 1"", ""assert find_Rotations(\""ab\"") == 2"", ""assert find_Rotations(\""abc\"") == 3""]","pub fn find_Rotations(s: &str) -> usize {
    let tmp = format!(""{}{}"", s, s);
    let n = s.len();
    
    for i in 1..=n {
        let substring = &tmp[i..i + n];
        if s == substring {
            return i;
        }
    }
    n
}",success,1,3,0,"[{""python_test"": ""assert find_Rotations(\""aaaa\"") == 1"", ""generated_test"": ""let result = find_Rotations(\""aaaa\"");\nlet expected = 1;\nif result == expected {\n    println!(\""PASS\"");\n} else {\n    println!(\""FAIL\"");\n    println!(\""  Expected: {}\"", expected);\n    println!(\""  Got: {}\"", result);\n}"", ""passed"": true, ""llm_validated"": false}, {""python_test"": ""assert find_Rotations(\""ab\"") == 2"", ""generated_test"": ""let result = find_Rotations(\""ab\"");\nlet expected = 2;\nif result == expected {\n    println!(\""PASS\"");\n} else {\n    println!(\""FAIL\"");\n    println!(\""  Expected: {}\"", expected);\n    println!(\""  Got: {}\"", result);\n}"", ""passed"": true, ""llm_validated"": false}, {""python_test"": ""assert find_Rotations(\""abc\"") == 3"", ""generated_test"": ""let result = find_Rotations(\""abc\"");\nlet expected: usize = 3;\nif result == expected {\n    println!(\""PASS\"");\n} else {\n    println!(\""FAIL\"");\n    println!(\""  Expected: {}\"", expected);\n    println!(\""  Got: {}\"", result);\n}"", ""passed"": true, ""llm_validated"": false}]"
11,test,sanitized,Write a python function to remove first and last occurrence of a given character from the string.,"def remove_Occ(s,ch): 
    for i in range(len(s)): 
        if (s[i] == ch): 
            s = s[0 : i] + s[i + 1:] 
            break
    for i in range(len(s) - 1,-1,-1):  
        if (s[i] == ch): 
            s = s[0 : i] + s[i + 1:] 
            break
    return s ","[""assert remove_Occ(\""hello\"",\""l\"") == \""heo\"""", ""assert remove_Occ(\""abcda\"",\""a\"") == \""bcd\"""", ""assert remove_Occ(\""PHP\"",\""P\"") == \""H\""""]","pub fn remove_Occ(s: &str, ch: char) -> String {
    let mut result: String = s.to_string();
    
    // Remove first occurrence
    if let Some(pos) = result.find(ch) {
        result.remove(pos);
    }
    
    // Remove last occurrence
    if let Some(pos) = result.rfind(ch) {
        result.remove(pos);
    }
    
    result
}",success,1,3,0,"[{""python_test"": ""assert remove_Occ(\""hello\"",\""l\"") == \""heo\"""", ""generated_test"": ""let result = remove_Occ(\""hello\"", 'l');\nlet expected = \""heo\"";\nif result == expected {\n    println!(\""PASS\"");\n} else {\n    println!(\""FAIL\"");\n    println!(\""  Expected: {}\"", expected);\n    println!(\""  Got: {}\"", result);\n}"", ""passed"": true, ""llm_validated"": false}, {""python_test"": ""assert remove_Occ(\""abcda\"",\""a\"") == \""bcd\"""", ""generated_test"": ""let result = remove_Occ(\""abcda\"", 'a');\nlet expected = \""bcd\"";\nif result == expected {\n    println!(\""PASS\"");\n} else {\n    println!(\""FAIL\"");\n    println!(\""  Expected: {}\"", expected);\n    println!(\""  Got: {}\"", result);\n}"", ""passed"": true, ""llm_validated"": false}, {""python_test"": ""assert remove_Occ(\""PHP\"",\""P\"") == \""H\"""", ""generated_test"": ""let result = remove_Occ(\""PHP\"", 'P');\nlet expected = \""H\"";\nif result == expected {\n    println!(\""PASS\"");\n} else {\n    println!(\""FAIL\"");\n    println!(\""  Expected: {}\"", expected);\n    println!(\""  Got: {}\"", result);\n}"", ""passed"": true, ""llm_validated"": false}]"
12,test,sanitized,Write a function to sort a given matrix in ascending order according to the sum of its rows.,"def sort_matrix(M):
    result = sorted(M, key=sum)
    return result","[""assert sort_matrix([[1, 2, 3], [2, 4, 5], [1, 1, 1]])==[[1, 1, 1], [1, 2, 3], [2, 4, 5]]"", ""assert sort_matrix([[1, 2, 3], [-2, 4, -5], [1, -1, 1]])==[[-2, 4, -5], [1, -1, 1], [1, 2, 3]]"", ""assert sort_matrix([[5,8,9],[6,4,3],[2,1,4]])==[[2, 1, 4], [6, 4, 3], [5, 8, 9]]""]","pub fn sort_matrix(m: Vec<Vec<i32>>) -> Vec<Vec<i32>> {
    let mut result = m;
    result.sort_by_key(|row| row.iter().sum::<i32>());
    result
}",success,1,3,0,"[{""python_test"": ""assert sort_matrix([[1, 2, 3], [2, 4, 5], [1, 1, 1]])==[[1, 1, 1], [1, 2, 3], [2, 4, 5]]"", ""generated_test"": ""let input = vec![vec![1, 2, 3], vec![2, 4, 5], vec![1, 1, 1]];\nlet expected = vec![vec![1, 1, 1], vec![1, 2, 3], vec![2, 4, 5]];\nlet result = sort_matrix(input);\nif result == expected {\n    println!(\""PASS\"");\n} else {\n    println!(\""FAIL\"");\n    println!(\""  Expected: {:?}\"", expected);\n    println!(\""  Got: {:?}\"", result);\n}"", ""passed"": true, ""llm_validated"": false}, {""python_test"": ""assert sort_matrix([[1, 2, 3], [-2, 4, -5], [1, -1, 1]])==[[-2, 4, -5], [1, -1, 1], [1, 2, 3]]"", ""generated_test"": ""let input = vec![vec![1, 2, 3], vec![-2, 4, -5], vec![1, -1, 1]];\nlet expected = vec![vec![-2, 4, -5], vec![1, -1, 1], vec![1, 2, 3]];\nlet result = sort_matrix(input);\nif result == expected {\n    println!(\""PASS\"");\n} else {\n    println!(\""FAIL\"");\n    println!(\""  Expected: {:?}\"", expected);\n    println!(\""  Got: {:?}\"", result);\n}"", ""passed"": true, ""llm_validated"": false}, {""python_test"": ""assert sort_matrix([[5,8,9],[6,4,3],[2,1,4]])==[[2, 1, 4], [6, 4, 3], [5, 8, 9]]"", ""generated_test"": ""let input = vec![vec![5, 8, 9], vec![6, 4, 3], vec![2, 1, 4]];\nlet expected = vec![vec![2, 1, 4], vec![6, 4, 3], vec![5, 8, 9]];\nlet result = sort_matrix(input);\nif result == expected {\n    println!(\""PASS\"");\n} else {\n    println!(\""FAIL\"");\n    println!(\""  Expected: {:?}\"", expected);\n    println!(\""  Got: {:?}\"", result);\n}"", ""passed"": true, ""llm_validated"": false}]"
14,test,sanitized,Write a python function to find the volume of a triangular prism.,"def find_Volume(l,b,h) : 
    return ((l * b * h) / 2) ","[""assert find_Volume(10,8,6) == 240"", ""assert find_Volume(3,2,2) == 6"", ""assert find_Volume(1,2,1) == 1""]","pub fn find_Volume(l: f64, b: f64, h: f64) -> f64 {
    (l * b * h) / 2.0
}",success,1,3,0,"[{""python_test"": ""assert find_Volume(10,8,6) == 240"", ""generated_test"": ""let result = find_Volume(10.0, 8.0, 6.0);\nlet expected = 240.0;\nif (result - expected).abs() < 1e-9 {\n    println!(\""PASS\"");\n} else {\n    println!(\""FAIL\"");\n    println!(\""  Expected: {}\"", expected);\n    println!(\""  Got: {}\"", result);\n}"", ""passed"": true, ""llm_validated"": false}, {""python_test"": ""assert find_Volume(3,2,2) == 6"", ""generated_test"": ""let result = find_Volume(3.0, 2.0, 2.0);\nlet expected = 6.0;\nif (result - expected).abs() < 1e-9 {\n    println!(\""PASS\"");\n} else {\n    println!(\""FAIL\"");\n    println!(\""  Expected: {}\"", expected);\n    println!(\""  Got: {}\"", result);\n}"", ""passed"": true, ""llm_validated"": false}, {""python_test"": ""assert find_Volume(1,2,1) == 1"", ""generated_test"": ""let result = find_Volume(1.0, 2.0, 1.0);\nlet expected = 1.0;\nif (result - expected).abs() < 1e-9 {\n    println!(\""PASS\"");\n} else {\n    println!(\""FAIL\"");\n    println!(\""  Expected: {}\"", expected);\n    println!(\""  Got: {}\"", result);\n}"", ""passed"": true, ""llm_validated"": false}]"
