task_id,pair_num,prompt,code
2,1,Create a function that identifies elements common to both of the provided lists.,"def similar_elements(test_tup1, test_tup2):
  # Initialize empty list to collect common elements found
  common = []
  # Convert second tuple to set for O(1) membership testing
  set2 = set(test_tup2)
  # Track elements already added to avoid duplicates
  seen = set()
  # Iterate through each element in the first tuple
  for elem in test_tup1:
    # Check if element exists in second collection and hasn't been added yet
    if elem in set2 and elem not in seen:
      # Append the shared element to our result list
      common.append(elem)
      # Mark this element as processed to prevent duplicates
      seen.add(elem)
  # Convert the list of common elements to a tuple for return
  return tuple(common)"
2,2,"Given two lists as input, develop a function that returns the elements they have in common.","def similar_elements(test_tup1, test_tup2):
  # Use set intersection method instead of & operator for finding common elements
  set1 = set(test_tup1)
  # Create set from second tuple to enable intersection operation
  set2 = set(test_tup2)
  # Call intersection method which returns elements present in both sets
  common_set = set1.intersection(set2)
  # Convert resulting set back to tuple format as required by function signature
  result = tuple(common_set)
  # Return the tuple containing all shared elements between inputs
  return result"
2,3,Implement a function to determine which elements appear in both of the two supplied lists.,"def similar_elements(test_tup1, test_tup2):
  # Use list comprehension with uniqueness filter via dict.fromkeys to find shared elements
  unique_first = list(dict.fromkeys(test_tup1))
  # Create a lookup dictionary from second tuple for efficient membership checking
  lookup = dict.fromkeys(test_tup2)
  # Build result by filtering elements that exist in the lookup dictionary
  shared = [x for x in unique_first if x in lookup]
  # Transform the filtered list into immutable tuple format for return
  return tuple(shared)"
2,4,Your task is to write a function that extracts all elements shared between two given lists.,"def similar_elements(test_tup1, test_tup2):
  # Use filter function with lambda to select elements present in both collections
  set_tup2 = set(test_tup2)
  # Apply filter to get iterator of elements from first tuple that exist in second
  filtered = filter(lambda x: x in set_tup2, test_tup1)
  # Convert filtered iterator to set to eliminate any duplicate matches
  unique_common = set(filtered)
  # Cast the deduplicated set into tuple format for the expected return type
  return tuple(unique_common)"
2,5,How would you design a function that finds the intersection of elements from two input lists?,"def similar_elements(test_tup1, test_tup2):
  # Leverage set symmetric difference to find elements NOT shared between collections
  set1 = set(test_tup1)
  # Build second set for symmetric difference computation
  set2 = set(test_tup2)
  # Compute union of both sets to get all possible elements
  all_elements = set1 | set2
  # Symmetric difference gives elements in either set but not both
  not_shared = set1 ^ set2
  # Subtract non-shared elements from union to isolate only common elements
  common_elements = all_elements - not_shared
  # Package the intersection result as an immutable tuple for return
  return tuple(common_elements)"
3,1,Create a Python function that detects numbers which are not prime.,"def is_not_prime(n):
    # Handle edge case where n is less than 2 (not prime by definition)
    if n < 2:
        return True
    # Special case: 2 is the only even prime number
    if n == 2:
        return False
    # All even numbers greater than 2 are composite (not prime)
    if n % 2 == 0:
        return True
    # Start checking from 3 and only test odd divisors
    divisor = 3
    # Continue while divisor squared is less than or equal to n
    while divisor * divisor <= n:
        # If n is divisible by current divisor, it's composite
        if n % divisor == 0:
            return True
        # Skip even numbers by incrementing by 2
        divisor += 2
    # No divisors found, so n is prime (return False for ""is not prime"")
    return False"
3,2,Develop a function in Python capable of determining whether a given number is composite (non-prime).,"def is_not_prime(n):
    # A prime number must be at least 2, so anything less is not prime
    if n < 2:
        return True
    # Use the all() function with a generator expression for a functional approach
    # Check if n is NOT divisible by any number from 2 to sqrt(n)
    # If all() returns True, n is prime (no divisors found), so we return False
    # We compute the upper bound as n**0.5 to avoid importing math module
    upper_limit = int(n ** 0.5) + 1
    # Generate a sequence of potential divisors starting from 2
    potential_divisors = range(2, upper_limit)
    # Use all() to check that n is not divisible by any divisor in the range
    # The expression n % d != 0 returns True when d is NOT a divisor
    is_prime = all(n % d != 0 for d in potential_divisors)
    # Invert the result since we want is_not_prime (True when composite)
    return not is_prime"
3,3,"In Python, implement a function whose purpose is to recognize numbers that fail to meet the criteria for being prime.","def is_not_prime(n):
    # Handle numbers less than 2 which are not prime by mathematical definition
    if n < 2:
        return True
    # Use any() to find if at least one divisor exists - short-circuits on first True
    # This is the opposite logic of using all() - we look for existence of a factor
    # Generate divisors from 2 up to and including the integer square root of n
    # The ** 0.5 computes square root without needing math module import
    return any(n % divisor == 0 for divisor in range(2, int(n ** 0.5) + 1))"
3,4,A Python function is needed that can identify which numbers are non-prime values.,"def is_not_prime(n):
    # Recursive helper function that checks divisibility starting from a given divisor
    def has_divisor(num, current_divisor):
        # Base case: if divisor squared exceeds num, no factors exist in remaining range
        if current_divisor * current_divisor > num:
            return False
        # Found a divisor - num is composite (not prime)
        if num % current_divisor == 0:
            return True
        # Recursively check the next potential divisor
        return has_divisor(num, current_divisor + 1)
    
    # Numbers less than 2 don't meet the prime definition (positive integers > 1)
    if n < 2:
        return True
    # 2 is the smallest and only even prime number
    if n == 2:
        return False
    # Initiate recursive divisibility check starting from smallest possible factor
    return has_divisor(n, 2)"
3,5,How would you write a Python function to check if numbers are composite rather than prime?,"def is_not_prime(n):
    # Build a list of all integers from 2 up to the square root bound for trial division
    divisor_candidates = list(range(2, int(n ** 0.5) + 1))
    # Use filter to extract only those candidates that actually divide n evenly
    actual_divisors = list(filter(lambda d: n % d == 0, divisor_candidates))
    # A number less than 2 cannot be prime by mathematical convention
    if n < 2:
        return True
    # The length of actual_divisors tells us if any factors were found
    # A non-empty list (length > 0) indicates n has factors, making it composite
    return len(actual_divisors) > 0"
4,1,"Create a function that takes a list of numbers and returns the n biggest integers, sorted from highest to lowest.","def heap_queue_largest(nums, n):
    # Create a copy of the list to avoid modifying the original input
    nums_copy = nums.copy()
    # Sort the copied list in descending order using reverse parameter
    nums_copy.sort(reverse=True)
    # Slice the first n elements which are the largest after sorting
    largest_nums = nums_copy[:n]
    # Return the n largest numbers already in descending order
    return largest_nums"
4,2,"Given a list of numbers, implement a function to extract the top n largest integers and return them arranged in descending order.","def heap_queue_largest(nums, n):
    # Use built-in sorted() function which returns a new list, leaving original unchanged
    sorted_descending = sorted(nums, reverse=True)
    # Extract exactly n elements from the front of the sorted result
    result = sorted_descending[:n]
    # Return the n largest values already arranged from biggest to smallest
    return result"
4,3,"Develop a function where, from an input list of numbers, the n greatest integers are identified and output in order from largest to smallest.","def heap_queue_largest(nums, n):
    # Build a min-heap of size n to track the n largest elements seen so far
    import heapq
    # Initialize an empty min-heap to store our candidates
    min_heap = []
    # Process each number in the input list one at a time
    for num in nums:
        # When heap has fewer than n elements, simply add the current number
        if len(min_heap) < n:
            # Push onto heap which maintains min-heap property automatically
            heapq.heappush(min_heap, num)
        # When heap is full, only replace if current number is larger than smallest
        elif num > min_heap[0]:
            # Replace the root (smallest in heap) with current larger number
            heapq.heapreplace(min_heap, num)
    # Convert min-heap to a sorted list by repeatedly extracting minimum
    result = []
    # Extract all elements from heap to get them in ascending order
    while min_heap:
        # Pop smallest element and prepend to result for descending order
        result.insert(0, heapq.heappop(min_heap))
    # Return the n largest numbers arranged from biggest to smallest
    return result"
4,4,How would you write a function that selects the n highest integers from a provided number list and presents them sorted descendingly?,"def heap_queue_largest(nums, n):
    # Repeatedly find and collect the maximum value n times
    result = []
    # Create a working copy to allow element removal without affecting input
    remaining = nums.copy()
    # Loop exactly n times to collect n largest elements
    for _ in range(n):
        # Locate the maximum value among remaining candidates
        current_max = max(remaining)
        # Append this maximum to our result collection
        result.append(current_max)
        # Remove one instance of the max to find next largest in subsequent iteration
        remaining.remove(current_max)
    # Result naturally ends up in descending order since we found max each time
    return result"
4,5,"A function is needed that accepts a list of numbers, determines which n integers are the largest, and delivers them in descending sequence.","def heap_queue_largest(nums, n):
    # Use selection approach: maintain indices of elements we've already picked
    picked_indices = set()
    # Accumulate the n largest values in order from biggest to smallest
    result = []
    # Repeat the selection process exactly n times
    for _ in range(n):
        # Track the best candidate value found in current pass
        max_val = None
        # Track the index of the best candidate to avoid picking it again
        max_idx = None
        # Scan through every index in the original list
        for i in range(len(nums)):
            # Skip indices we've already selected in previous iterations
            if i in picked_indices:
                continue
            # Update our best candidate if this is first valid element or larger than current best
            if max_val is None or nums[i] > max_val:
                # Record the new maximum value discovered
                max_val = nums[i]
                # Remember its position for later exclusion
                max_idx = i
        # Mark this index as used so we don't select the same element twice
        picked_indices.add(max_idx)
        # Add the largest unpicked value to our results
        result.append(max_val)
    # Results are naturally in descending order due to iterative max selection
    return result"
