task_id,source_split,source_config,text,code_python,test_list,code_typescript,code_typescript_status,code_typescript_attempts,code_typescript_tests_passed,code_typescript_tests_failed,tests_typescript
2,prompt,sanitized,Write a function to find the shared elements from the given two lists.,"def similar_elements(test_tup1, test_tup2):
  res = tuple(set(test_tup1) & set(test_tup2))
  return (res) ","[""assert set(similar_elements((3, 4, 5, 6),(5, 7, 4, 10))) == set((4, 5))"", ""assert set(similar_elements((1, 2, 3, 4),(5, 4, 3, 7))) == set((3, 4))"", ""assert set(similar_elements((11, 12, 14, 13),(17, 15, 14, 13))) == set((13, 14))""]","function similar_elements<T>(test_tup1: T[], test_tup2: T[]): T[] {
  const set1 = new Set(test_tup1);
  const set2 = new Set(test_tup2);
  const intersection: T[] = [];
  
  for (const item of set1) {
    if (set2.has(item)) {
      intersection.push(item);
    }
  }
  
  return intersection;
}",success,1,3,0,[]
3,prompt,sanitized,Write a python function to identify non-prime numbers.,"import math
def is_not_prime(n):
    result = False
    for i in range(2,int(math.sqrt(n)) + 1):
        if n % i == 0:
            result = True
    return result","[""assert is_not_prime(2) == False"", ""assert is_not_prime(10) == True"", ""assert is_not_prime(35) == True"", ""assert is_not_prime(37) == False""]","function is_not_prime(n: number): boolean {
    let result: boolean = false;
    for (let i = 2; i <= Math.floor(Math.sqrt(n)); i++) {
        if (n % i === 0) {
            result = true;
        }
    }
    return result;
}",success,1,4,0,[]
4,prompt,sanitized,"Write a function to find the n largest integers from a given list of numbers, returned in descending order.","import heapq as hq
def heap_queue_largest(nums,n):
  largest_nums = hq.nlargest(n, nums)
  return largest_nums","[""assert heap_queue_largest( [25, 35, 22, 85, 14, 65, 75, 22, 58],3)==[85, 75, 65]"", ""assert heap_queue_largest( [25, 35, 22, 85, 14, 65, 75, 22, 58],2)==[85, 75]"", ""assert heap_queue_largest( [25, 35, 22, 85, 14, 65, 75, 22, 58],5)==[85, 75, 65, 58, 35]""]","function heap_queue_largest(nums: number[], n: number): number[] {
  if (n <= 0) {
    return [];
  }
  
  if (n >= nums.length) {
    return [...nums].sort((a, b) => b - a);
  }
  
  const sorted = [...nums].sort((a, b) => b - a);
  return sorted.slice(0, n);
}",success,1,3,0,[]
6,prompt,sanitized,Write a python function to check whether the two numbers differ at one bit position only or not.,"def is_Power_Of_Two (x): 
    return x and (not(x & (x - 1))) 
def differ_At_One_Bit_Pos(a,b): 
    return is_Power_Of_Two(a ^ b)","[""assert differ_At_One_Bit_Pos(13,9) == True"", ""assert differ_At_One_Bit_Pos(15,8) == False"", ""assert differ_At_One_Bit_Pos(2,4) == False"", ""assert differ_At_One_Bit_Pos(2, 3) == True"", ""assert differ_At_One_Bit_Pos(5, 1) == True"", ""assert differ_At_One_Bit_Pos(1, 5) == True""]","function is_Power_Of_Two(x: number): boolean {
    return x !== 0 && (x & (x - 1)) === 0;
}

function differ_At_One_Bit_Pos(a: number, b: number): boolean {
    return is_Power_Of_Two(a ^ b);
}",success,1,6,0,[]
7,prompt,sanitized,Write a function to find all words which are at least 4 characters long in a string.,"import re
def find_char_long(text):
  return (re.findall(r""\b\w{4,}\b"", text))","[""assert set(find_char_long('Please move back to stream')) == set(['Please', 'move', 'back', 'stream'])"", ""assert set(find_char_long('Jing Eco and Tech')) == set(['Jing', 'Tech'])"", ""assert set(find_char_long('Jhingai wulu road Zone 3')) == set(['Jhingai', 'wulu', 'road', 'Zone'])""]","function find_char_long(text: string): string[] {
  const regex = /\b\w{4,}\b/g;
  const matches = text.match(regex);
  return matches ? matches : [];
}",success,1,3,0,[]
8,prompt,sanitized,Write a function to find squares of individual elements in a list.,"def square_nums(nums):
 square_nums = list(map(lambda x: x ** 2, nums))
 return square_nums","[""assert square_nums([1, 2, 3, 4, 5, 6, 7, 8, 9, 10])==[1, 4, 9, 16, 25, 36, 49, 64, 81, 100]"", ""assert square_nums([10,20,30])==([100,400,900])"", ""assert square_nums([12,15])==([144,225])""]","function square_nums(nums: number[]): number[] {
    return nums.map(x => x ** 2);
}",success,1,3,0,[]
9,prompt,sanitized,Write a python function to find the minimum number of rotations (greater than 0) required to get the same string.,"def find_Rotations(str): 
    tmp = str + str
    n = len(str) 
    for i in range(1,n + 1): 
        substring = tmp[i: i+n] 
        if (str == substring): 
            return i 
    return n ","[""assert find_Rotations(\""aaaa\"") == 1"", ""assert find_Rotations(\""ab\"") == 2"", ""assert find_Rotations(\""abc\"") == 3""]","function find_Rotations(str: string): number {
    const tmp: string = str + str;
    const n: number = str.length;
    for (let i = 1; i <= n; i++) {
        const substring: string = tmp.slice(i, i + n);
        if (str === substring) {
            return i;
        }
    }
    return n;
}",success,1,3,0,[]
11,test,sanitized,Write a python function to remove first and last occurrence of a given character from the string.,"def remove_Occ(s,ch): 
    for i in range(len(s)): 
        if (s[i] == ch): 
            s = s[0 : i] + s[i + 1:] 
            break
    for i in range(len(s) - 1,-1,-1):  
        if (s[i] == ch): 
            s = s[0 : i] + s[i + 1:] 
            break
    return s ","[""assert remove_Occ(\""hello\"",\""l\"") == \""heo\"""", ""assert remove_Occ(\""abcda\"",\""a\"") == \""bcd\"""", ""assert remove_Occ(\""PHP\"",\""P\"") == \""H\""""]","function remove_Occ(s: string, ch: string): string {
    for (let i = 0; i < s.length; i++) {
        if (s[i] === ch) {
            s = s.slice(0, i) + s.slice(i + 1);
            break;
        }
    }
    for (let i = s.length - 1; i >= 0; i--) {
        if (s[i] === ch) {
            s = s.slice(0, i) + s.slice(i + 1);
            break;
        }
    }
    return s;
}",success,1,3,0,[]
12,test,sanitized,Write a function to sort a given matrix in ascending order according to the sum of its rows.,"def sort_matrix(M):
    result = sorted(M, key=sum)
    return result","[""assert sort_matrix([[1, 2, 3], [2, 4, 5], [1, 1, 1]])==[[1, 1, 1], [1, 2, 3], [2, 4, 5]]"", ""assert sort_matrix([[1, 2, 3], [-2, 4, -5], [1, -1, 1]])==[[-2, 4, -5], [1, -1, 1], [1, 2, 3]]"", ""assert sort_matrix([[5,8,9],[6,4,3],[2,1,4]])==[[2, 1, 4], [6, 4, 3], [5, 8, 9]]""]","function sort_matrix(M: number[][]): number[][] {
    const sum = (arr: number[]): number => arr.reduce((acc, val) => acc + val, 0);
    const result = [...M].sort((a, b) => sum(a) - sum(b));
    return result;
}",success,1,3,0,[]
14,test,sanitized,Write a python function to find the volume of a triangular prism.,"def find_Volume(l,b,h) : 
    return ((l * b * h) / 2) ","[""assert find_Volume(10,8,6) == 240"", ""assert find_Volume(3,2,2) == 6"", ""assert find_Volume(1,2,1) == 1""]","function find_Volume(l: number, b: number, h: number): number {
    return (l * b * h) / 2;
}",success,1,3,0,[]
