task_id,source_split,source_config,text,code_python,test_list,code_go,code_go_status,code_go_attempts,code_go_tests_passed,code_go_tests_failed,code_java,code_java_status,code_java_attempts,code_java_tests_passed,code_java_tests_failed,code_javascript,code_javascript_status,code_javascript_attempts,code_javascript_tests_passed,code_javascript_tests_failed,code_ruby,code_ruby_status,code_ruby_attempts,code_ruby_tests_passed,code_ruby_tests_failed,code_rust,code_rust_status,code_rust_attempts,code_rust_tests_passed,code_rust_tests_failed,code_typescript,code_typescript_status,code_typescript_attempts,code_typescript_tests_passed,code_typescript_tests_failed
2,prompt,sanitized,Write a function to find the shared elements from the given two lists.,"def similar_elements(test_tup1, test_tup2):
  res = tuple(set(test_tup1) & set(test_tup2))
  return (res) ","[""assert set(similar_elements((3, 4, 5, 6),(5, 7, 4, 10))) == set((4, 5))"", ""assert set(similar_elements((1, 2, 3, 4),(5, 4, 3, 7))) == set((3, 4))"", ""assert set(similar_elements((11, 12, 14, 13),(17, 15, 14, 13))) == set((13, 14))""]","package main

func similar_elements(test_tup1, test_tup2 []int) []int {
	set1 := make(map[int]bool)
	for _, v := range test_tup1 {
		set1[v] = true
	}
	
	resultMap := make(map[int]bool)
	for _, v := range test_tup2 {
		if set1[v] {
			resultMap[v] = true
		}
	}
	
	res := make([]int, 0, len(resultMap))
	for v := range resultMap {
		res = append(res, v)
	}
	
	return res
}",success,1,3,0,"import java.util.*;

public class Solution {
    public static int[] similar_elements(int[] test_tup1, int[] test_tup2) {
        HashSet<Integer> set1 = new HashSet<>();
        HashSet<Integer> set2 = new HashSet<>();
        
        for (int num : test_tup1) {
            set1.add(num);
        }
        
        for (int num : test_tup2) {
            set2.add(num);
        }
        
        set1.retainAll(set2);
        
        int[] result = new int[set1.size()];
        int i = 0;
        for (int num : set1) {
            result[i++] = num;
        }
        
        return result;
    }
}",success,1,3,0,"function similar_elements(test_tup1, test_tup2) {
  const set1 = new Set(test_tup1);
  const set2 = new Set(test_tup2);
  const res = [...set1].filter(x => set2.has(x));
  return res;
}",success,1,3,0,"def similar_elements(test_tup1, test_tup2)
  (test_tup1.to_a & test_tup2.to_a)
end",success,1,3,0,"use std::collections::HashSet;

pub fn similar_elements(test_tup1: Vec<i32>, test_tup2: Vec<i32>) -> Vec<i32> {
    let set1: HashSet<i32> = test_tup1.into_iter().collect();
    let set2: HashSet<i32> = test_tup2.into_iter().collect();
    set1.intersection(&set2).cloned().collect()
}",success,2,3,0,"function similar_elements<T>(test_tup1: T[], test_tup2: T[]): T[] {
  const set1 = new Set(test_tup1);
  const set2 = new Set(test_tup2);
  const intersection: T[] = [];
  
  for (const item of set1) {
    if (set2.has(item)) {
      intersection.push(item);
    }
  }
  
  return intersection;
}",success,1,3,0
3,prompt,sanitized,Write a python function to identify non-prime numbers.,"import math
def is_not_prime(n):
    result = False
    for i in range(2,int(math.sqrt(n)) + 1):
        if n % i == 0:
            result = True
    return result","[""assert is_not_prime(2) == False"", ""assert is_not_prime(10) == True"", ""assert is_not_prime(35) == True"", ""assert is_not_prime(37) == False""]","package main

import (
	""math""
)

func is_not_prime(n int) bool {
	result := false
	for i := 2; i <= int(math.Sqrt(float64(n))); i++ {
		if n%i == 0 {
			result = true
		}
	}
	return result
}",success,1,4,0,"import java.util.*;

public class Solution {
    public static boolean is_not_prime(int n) {
        boolean result = false;
        for (int i = 2; i <= (int) Math.sqrt(n); i++) {
            if (n % i == 0) {
                result = true;
            }
        }
        return result;
    }
}",success,1,4,0,"function is_not_prime(n) {
    let result = false;
    for (let i = 2; i <= Math.floor(Math.sqrt(n)); i++) {
        if (n % i === 0) {
            result = true;
        }
    }
    return result;
}",success,1,4,0,"def is_not_prime(n)
  result = false
  (2..Math.sqrt(n).to_i).each do |i|
    if n % i == 0
      result = true
    end
  end
  result
end",success,1,4,0,"pub fn is_not_prime(n: i32) -> bool {
    let mut result = false;
    let sqrt_n = (n as f64).sqrt() as i32;
    for i in 2..=sqrt_n {
        if n % i == 0 {
            result = true;
        }
    }
    result
}",success,1,4,0,"function is_not_prime(n: number): boolean {
    let result: boolean = false;
    for (let i = 2; i <= Math.floor(Math.sqrt(n)); i++) {
        if (n % i === 0) {
            result = true;
        }
    }
    return result;
}",success,1,4,0
4,prompt,sanitized,"Write a function to find the n largest integers from a given list of numbers, returned in descending order.","import heapq as hq
def heap_queue_largest(nums,n):
  largest_nums = hq.nlargest(n, nums)
  return largest_nums","[""assert heap_queue_largest( [25, 35, 22, 85, 14, 65, 75, 22, 58],3)==[85, 75, 65]"", ""assert heap_queue_largest( [25, 35, 22, 85, 14, 65, 75, 22, 58],2)==[85, 75]"", ""assert heap_queue_largest( [25, 35, 22, 85, 14, 65, 75, 22, 58],5)==[85, 75, 65, 58, 35]""]","package main

import (
	""container/heap""
)

type MinHeap []int

func (h MinHeap) Len() int           { return len(h) }
func (h MinHeap) Less(i, j int) bool { return h[i] < h[j] }
func (h MinHeap) Swap(i, j int)      { h[i], h[j] = h[j], h[i] }

func (h *MinHeap) Push(x interface{}) {
	*h = append(*h, x.(int))
}

func (h *MinHeap) Pop() interface{} {
	old := *h
	n := len(old)
	x := old[n-1]
	*h = old[0 : n-1]
	return x
}

func heap_queue_largest(nums []int, n int) []int {
	if n <= 0 {
		return []int{}
	}
	
	if n > len(nums) {
		n = len(nums)
	}
	
	h := &MinHeap{}
	heap.Init(h)
	
	for _, num := range nums {
		if h.Len() < n {
			heap.Push(h, num)
		} else if num > (*h)[0] {
			heap.Pop(h)
			heap.Push(h, num)
		}
	}
	
	result := make([]int, h.Len())
	for i := len(result) - 1; i >= 0; i-- {
		result[i] = heap.Pop(h).(int)
	}
	
	return result
}",success,3,3,0,"import java.util.*;

public class Solution {
    public static List<Integer> heap_queue_largest(List<Integer> nums, int n) {
        if (nums == null || nums.isEmpty() || n <= 0) {
            return new ArrayList<>();
        }
        
        n = Math.min(n, nums.size());
        
        // Use MIN heap to keep track of n largest elements
        PriorityQueue<Integer> minHeap = new PriorityQueue<>();
        
        for (int num : nums) {
            minHeap.offer(num);
            if (minHeap.size() > n) {
                minHeap.poll();
            }
        }
        
        // Extract elements into a list
        List<Integer> result = new ArrayList<>();
        while (!minHeap.isEmpty()) {
            result.add(minHeap.poll());
        }
        
        // Reverse to get descending order
        Collections.reverse(result);
        
        return result;
    }
}",success,6,3,0,"function heap_queue_largest(nums, n) {
  const sorted = [...nums].sort((a, b) => b - a);
  return sorted.slice(0, n);
}",success,1,3,0,"def heap_queue_largest(nums, n)
  nums.max(n)
end",success,1,3,0,"pub fn heap_queue_largest(nums: &[i32], n: usize) -> Vec<i32> {
    use std::collections::BinaryHeap;
    
    if nums.is_empty() || n == 0 {
        return Vec::new();
    }
    
    let mut heap = BinaryHeap::from(nums.to_vec());
    let mut result = Vec::with_capacity(n.min(nums.len()));
    
    for _ in 0..n {
        if let Some(val) = heap.pop() {
            result.push(val);
        } else {
            break;
        }
    }
    
    result
}",success,1,3,0,"function heap_queue_largest(nums: number[], n: number): number[] {
  if (n <= 0) {
    return [];
  }
  
  if (n >= nums.length) {
    return [...nums].sort((a, b) => b - a);
  }
  
  const sorted = [...nums].sort((a, b) => b - a);
  return sorted.slice(0, n);
}",success,1,3,0
6,prompt,sanitized,Write a python function to check whether the two numbers differ at one bit position only or not.,"def is_Power_Of_Two (x): 
    return x and (not(x & (x - 1))) 
def differ_At_One_Bit_Pos(a,b): 
    return is_Power_Of_Two(a ^ b)","[""assert differ_At_One_Bit_Pos(13,9) == True"", ""assert differ_At_One_Bit_Pos(15,8) == False"", ""assert differ_At_One_Bit_Pos(2,4) == False"", ""assert differ_At_One_Bit_Pos(2, 3) == True"", ""assert differ_At_One_Bit_Pos(5, 1) == True"", ""assert differ_At_One_Bit_Pos(1, 5) == True""]","package main

func is_Power_Of_Two(x int) bool {
    return x != 0 && (x&(x-1)) == 0
}

func differ_At_One_Bit_Pos(a, b int) bool {
    return is_Power_Of_Two(a ^ b)
}",success,1,6,0,"import java.util.*;

public class Solution {
    
    public static boolean is_Power_Of_Two(int x) {
        return x != 0 && ((x & (x - 1)) == 0);
    }
    
    public static boolean differ_At_One_Bit_Pos(int a, int b) {
        return is_Power_Of_Two(a ^ b);
    }
}",success,1,6,0,"function is_Power_Of_Two(x) {
    return x && (!(x & (x - 1)));
}

function differ_At_One_Bit_Pos(a, b) {
    return is_Power_Of_Two(a ^ b);
}",success,1,6,0,"def is_Power_Of_Two(x)
  x != 0 && (x & (x - 1)) == 0
end

def differ_At_One_Bit_Pos(a, b)
  is_Power_Of_Two(a ^ b)
end",success,1,6,0,"pub fn is_Power_Of_Two(x: i32) -> bool {
    x != 0 && (x & (x - 1)) == 0
}

pub fn differ_At_One_Bit_Pos(a: i32, b: i32) -> bool {
    is_Power_Of_Two(a ^ b)
}",success,1,6,0,"function is_Power_Of_Two(x: number): boolean {
    return x !== 0 && (x & (x - 1)) === 0;
}

function differ_At_One_Bit_Pos(a: number, b: number): boolean {
    return is_Power_Of_Two(a ^ b);
}",success,1,6,0
7,prompt,sanitized,Write a function to find all words which are at least 4 characters long in a string.,"import re
def find_char_long(text):
  return (re.findall(r""\b\w{4,}\b"", text))","[""assert set(find_char_long('Please move back to stream')) == set(['Please', 'move', 'back', 'stream'])"", ""assert set(find_char_long('Jing Eco and Tech')) == set(['Jing', 'Tech'])"", ""assert set(find_char_long('Jhingai wulu road Zone 3')) == set(['Jhingai', 'wulu', 'road', 'Zone'])""]","package main

import (
	""regexp""
)

func find_char_long(text string) []string {
	re := regexp.MustCompile(`\b\w{4,}\b`)
	matches := re.FindAllString(text, -1)
	if matches == nil {
		return []string{}
	}
	return matches
}",success,1,3,0,"import java.util.ArrayList;
import java.util.regex.Matcher;
import java.util.regex.Pattern;

public class Solution {
    public static ArrayList<String> find_char_long(String text) {
        ArrayList<String> result = new ArrayList<>();
        Pattern pattern = Pattern.compile(""\\b\\w{4,}\\b"");
        Matcher matcher = pattern.matcher(text);
        while (matcher.find()) {
            result.add(matcher.group());
        }
        return result;
    }
}",success,1,3,0,"function find_char_long(text) {
  const matches = text.match(/\b\w{4,}\b/g);
  return matches ? matches : [];
}",success,1,3,0,"def find_char_long(text)
  text.scan(/\b\w{4,}\b/)
end",success,1,3,0,"use std::collections::HashSet;

pub fn find_char_long(text: &str) -> Vec<String> {
    let mut result = Vec::new();
    let mut current_word = String::new();
    
    for ch in text.chars() {
        if ch.is_alphanumeric() || ch == '_' {
            current_word.push(ch);
        } else {
            if current_word.len() >= 4 {
                result.push(current_word.clone());
            }
            current_word.clear();
        }
    }
    
    // Don't forget the last word if the string doesn't end with a non-word character
    if current_word.len() >= 4 {
        result.push(current_word);
    }
    
    result
}",success,1,3,0,"function find_char_long(text: string): string[] {
  const regex = /\b\w{4,}\b/g;
  const matches = text.match(regex);
  return matches ? matches : [];
}",success,1,3,0
8,prompt,sanitized,Write a function to find squares of individual elements in a list.,"def square_nums(nums):
 square_nums = list(map(lambda x: x ** 2, nums))
 return square_nums","[""assert square_nums([1, 2, 3, 4, 5, 6, 7, 8, 9, 10])==[1, 4, 9, 16, 25, 36, 49, 64, 81, 100]"", ""assert square_nums([10,20,30])==([100,400,900])"", ""assert square_nums([12,15])==([144,225])""]","package main

func square_nums(nums []int) []int {
	result := make([]int, len(nums))
	for i, x := range nums {
		result[i] = x * x
	}
	return result
}",success,1,3,0,"import java.util.ArrayList;
import java.util.List;

public class Solution {
    public static List<Integer> square_nums(List<Integer> nums) {
        List<Integer> square_nums = new ArrayList<>();
        for (Integer x : nums) {
            square_nums.add(x * x);
        }
        return square_nums;
    }
}",success,2,3,0,"function square_nums(nums) {
    return nums.map(x => x ** 2);
}",success,1,3,0,"def square_nums(nums)
  nums.map { |x| x ** 2 }
end",success,1,3,0,"pub fn square_nums(nums: Vec<i32>) -> Vec<i32> {
    nums.iter().map(|x| x * x).collect()
}",success,1,3,0,"function square_nums(nums: number[]): number[] {
    return nums.map(x => x ** 2);
}",success,1,3,0
9,prompt,sanitized,Write a python function to find the minimum number of rotations (greater than 0) required to get the same string.,"def find_Rotations(str): 
    tmp = str + str
    n = len(str) 
    for i in range(1,n + 1): 
        substring = tmp[i: i+n] 
        if (str == substring): 
            return i 
    return n ","[""assert find_Rotations(\""aaaa\"") == 1"", ""assert find_Rotations(\""ab\"") == 2"", ""assert find_Rotations(\""abc\"") == 3""]","package main

func find_Rotations(str string) int {
	tmp := str + str
	n := len(str)
	for i := 1; i <= n; i++ {
		substring := tmp[i : i+n]
		if str == substring {
			return i
		}
	}
	return n
}",success,1,3,0,"import java.util.*;

public class Solution {
    public static int find_Rotations(String str) {
        String tmp = str + str;
        int n = str.length();
        for (int i = 1; i <= n; i++) {
            String substring = tmp.substring(i, i + n);
            if (str.equals(substring)) {
                return i;
            }
        }
        return n;
    }
}",success,1,3,0,"function find_Rotations(str) {
    const tmp = str + str;
    const n = str.length;
    for (let i = 1; i <= n; i++) {
        const substring = tmp.slice(i, i + n);
        if (str === substring) {
            return i;
        }
    }
    return n;
}",success,1,3,0,"def find_Rotations(str)
  tmp = str + str
  n = str.length
  (1..n).each do |i|
    substring = tmp[i, n]
    if str == substring
      return i
    end
  end
  n
end",success,1,3,0,"pub fn find_Rotations(s: &str) -> usize {
    let tmp = format!(""{}{}"", s, s);
    let n = s.len();
    
    for i in 1..=n {
        let substring = &tmp[i..i + n];
        if s == substring {
            return i;
        }
    }
    n
}",success,1,3,0,"function find_Rotations(str: string): number {
    const tmp: string = str + str;
    const n: number = str.length;
    for (let i = 1; i <= n; i++) {
        const substring: string = tmp.slice(i, i + n);
        if (str === substring) {
            return i;
        }
    }
    return n;
}",success,1,3,0
11,test,sanitized,Write a python function to remove first and last occurrence of a given character from the string.,"def remove_Occ(s,ch): 
    for i in range(len(s)): 
        if (s[i] == ch): 
            s = s[0 : i] + s[i + 1:] 
            break
    for i in range(len(s) - 1,-1,-1):  
        if (s[i] == ch): 
            s = s[0 : i] + s[i + 1:] 
            break
    return s ","[""assert remove_Occ(\""hello\"",\""l\"") == \""heo\"""", ""assert remove_Occ(\""abcda\"",\""a\"") == \""bcd\"""", ""assert remove_Occ(\""PHP\"",\""P\"") == \""H\""""]","package main

func remove_Occ(s string, ch string) string {
	if len(ch) == 0 {
		return s
	}
	
	target := rune(ch[0])
	runes := []rune(s)
	
	// Remove first occurrence
	for i := 0; i < len(runes); i++ {
		if runes[i] == target {
			runes = append(runes[:i], runes[i+1:]...)
			break
		}
	}
	
	// Remove last occurrence
	for i := len(runes) - 1; i >= 0; i-- {
		if runes[i] == target {
			runes = append(runes[:i], runes[i+1:]...)
			break
		}
	}
	
	return string(runes)
}",success,1,3,0,"import java.util.*;

public class Solution {
    public static String remove_Occ(String s, String ch) {
        char c = ch.charAt(0);
        
        // Remove first occurrence
        for (int i = 0; i < s.length(); i++) {
            if (s.charAt(i) == c) {
                s = s.substring(0, i) + s.substring(i + 1);
                break;
            }
        }
        
        // Remove last occurrence
        for (int i = s.length() - 1; i >= 0; i--) {
            if (s.charAt(i) == c) {
                s = s.substring(0, i) + s.substring(i + 1);
                break;
            }
        }
        
        return s;
    }
}",success,1,3,0,"function remove_Occ(s, ch) {
    for (let i = 0; i < s.length; i++) {
        if (s[i] === ch) {
            s = s.slice(0, i) + s.slice(i + 1);
            break;
        }
    }
    for (let i = s.length - 1; i >= 0; i--) {
        if (s[i] === ch) {
            s = s.slice(0, i) + s.slice(i + 1);
            break;
        }
    }
    return s;
}",success,1,3,0,"def remove_Occ(s, ch)
  s = s.dup
  
  (0...s.length).each do |i|
    if s[i] == ch
      s = s[0, i] + s[i + 1..-1].to_s
      break
    end
  end
  
  (s.length - 1).downto(0) do |i|
    if s[i] == ch
      s = s[0, i] + s[i + 1..-1].to_s
      break
    end
  end
  
  s
end",success,1,3,0,"pub fn remove_Occ(s: &str, ch: char) -> String {
    let mut result: String = s.to_string();
    
    // Remove first occurrence
    if let Some(pos) = result.find(ch) {
        result.remove(pos);
    }
    
    // Remove last occurrence
    if let Some(pos) = result.rfind(ch) {
        result.remove(pos);
    }
    
    result
}",success,1,3,0,"function remove_Occ(s: string, ch: string): string {
    for (let i = 0; i < s.length; i++) {
        if (s[i] === ch) {
            s = s.slice(0, i) + s.slice(i + 1);
            break;
        }
    }
    for (let i = s.length - 1; i >= 0; i--) {
        if (s[i] === ch) {
            s = s.slice(0, i) + s.slice(i + 1);
            break;
        }
    }
    return s;
}",success,1,3,0
12,test,sanitized,Write a function to sort a given matrix in ascending order according to the sum of its rows.,"def sort_matrix(M):
    result = sorted(M, key=sum)
    return result","[""assert sort_matrix([[1, 2, 3], [2, 4, 5], [1, 1, 1]])==[[1, 1, 1], [1, 2, 3], [2, 4, 5]]"", ""assert sort_matrix([[1, 2, 3], [-2, 4, -5], [1, -1, 1]])==[[-2, 4, -5], [1, -1, 1], [1, 2, 3]]"", ""assert sort_matrix([[5,8,9],[6,4,3],[2,1,4]])==[[2, 1, 4], [6, 4, 3], [5, 8, 9]]""]","package main

import (
	""sort""
)

func sort_matrix(M [][]int) [][]int {
	if M == nil {
		return nil
	}
	if len(M) == 0 {
		return [][]int{}
	}
	
	result := make([][]int, len(M))
	for i := range M {
		if M[i] == nil {
			result[i] = nil
		} else {
			result[i] = make([]int, len(M[i]))
			copy(result[i], M[i])
		}
	}
	
	sort.SliceStable(result, func(i, j int) bool {
		return rowSum(result[i]) < rowSum(result[j])
	})
	
	return result
}

func rowSum(row []int) int {
	if row == nil {
		return 0
	}
	sum := 0
	for _, v := range row {
		sum += v
	}
	return sum
}",success,4,3,0,"import java.util.*;

public class Solution {
    public static int[][] sort_matrix(int[][] M) {
        int[][] result = M.clone();
        
        Arrays.sort(result, (a, b) -> {
            int sumA = 0;
            int sumB = 0;
            for (int val : a) {
                sumA += val;
            }
            for (int val : b) {
                sumB += val;
            }
            return Integer.compare(sumA, sumB);
        });
        
        return result;
    }
}",success,1,3,0,"function sort_matrix(M) {
    const sum = arr => arr.reduce((acc, val) => acc + val, 0);
    return [...M].sort((a, b) => sum(a) - sum(b));
}",success,1,3,0,"def sort_matrix(m)
  m.sort_by { |row| row.sum }
end",success,1,3,0,"pub fn sort_matrix(m: Vec<Vec<i32>>) -> Vec<Vec<i32>> {
    let mut result = m;
    result.sort_by_key(|row| row.iter().sum::<i32>());
    result
}",success,1,3,0,"function sort_matrix(M: number[][]): number[][] {
    const sum = (arr: number[]): number => arr.reduce((acc, val) => acc + val, 0);
    const result = [...M].sort((a, b) => sum(a) - sum(b));
    return result;
}",success,1,3,0
14,test,sanitized,Write a python function to find the volume of a triangular prism.,"def find_Volume(l,b,h) : 
    return ((l * b * h) / 2) ","[""assert find_Volume(10,8,6) == 240"", ""assert find_Volume(3,2,2) == 6"", ""assert find_Volume(1,2,1) == 1""]","package main

func find_Volume(l, b, h float64) float64 {
	return (l * b * h) / 2
}",success,1,3,0,"import java.util.*;

public class Solution {
    public static double find_Volume(double l, double b, double h) {
        return ((l * b * h) / 2);
    }
}",success,1,3,0,"function find_Volume(l, b, h) {
    return (l * b * h) / 2;
}",success,1,3,0,"def find_Volume(l, b, h)
  (l * b * h) / 2.0
end",success,1,3,0,"pub fn find_Volume(l: f64, b: f64, h: f64) -> f64 {
    (l * b * h) / 2.0
}",success,1,3,0,"function find_Volume(l: number, b: number, h: number): number {
    return (l * b * h) / 2;
}",success,1,3,0
